,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
0,-27963.565379228963,-29031.146460156986,-29114.75471888484,-26332.251671867816,-29209.10950474929,-25170.911349924314,-25739.22633881559,-28848.560909006304,-28823.581756821928,-28380.364979164846,-27433.420332497793,-29502.950009072018,-29284.060123968018,-27911.31708276584,-28417.99100017232,-28307.022017394294,-29255.238456920935,-27846.493899695764,-25721.97123746376,-27135.773107073877,-25441.79453900271,-29005.286758949747,-26734.49465310834,-29140.993823132347,-29035.93781897969,-28597.025095102923,-29093.875777231202,-29153.799384924867,-29589.581666146278,-27898.95747171047
1,-28430.795524514553,-29031.146460156986,-29114.75471888484,-26332.251671867816,-29209.10950474929,-27181.53309967529,-25739.22633881559,-28848.560909006304,-29090.384315942014,-28380.364979164846,-28678.1314329023,-29502.950009072018,-29284.060123968018,-27911.31708276584,-28894.366414421936,-28398.204989721555,-29255.238456920935,-28642.086648068806,-28164.045520195163,-29350.44053372315,-26747.82794416466,-29171.350019155143,-27383.662546596504,-29140.993823132347,-29494.967957865585,-28597.025095102923,-29093.875777231202,-29156.17597314998,-29589.581666146278,-27943.140240551642
2,-29756.891025027897,-29031.146460156986,-29114.75471888484,-26934.703876343076,-29209.10950474929,-28278.681570522283,-30035.84134879966,-28848.560909006304,-29090.384315942014,-28380.364979164846,-28678.1314329023,-29502.950009072018,-29284.060123968018,-29106.025524952565,-29756.942940743924,-28398.204989721555,-29255.238456920935,-28949.957025830096,-29906.476722501873,-29350.44053372315,-27835.078642219247,-29171.350019155143,-27383.662546596504,-29140.993823132347,-29494.967957865585,-29188.520349476203,-29093.875777231202,-29177.296214769034,-29589.581666146278,-28067.381708026274
3,-29756.891025027897,-29174.58556036491,-29114.75471888484,-27950.674967676878,-29353.67483773778,-28444.402518945742,-30035.84134879966,-28848.560909006304,-29103.045522300923,-28380.364979164846,-28678.1314329023,-29502.950009072018,-29431.595277436216,-29106.025524952565,-29756.942940743924,-28823.747071574406,-29255.238456920935,-28949.957025830096,-29906.476722501873,-29466.935740362904,-28396.659264358404,-29650.74101922058,-27383.662546596504,-29140.993823132347,-29494.967957865585,-29840.887099253192,-29093.875777231202,-29526.929335888075,-29589.581666146278,-28270.40733156563
4,-29756.891025027897,-29386.19325984719,-29114.75471888484,-28208.946854024325,-29787.185117582536,-28669.148861740523,-30035.84134879966,-28848.560909006304,-29103.045522300923,-28380.364979164846,-29270.809148400294,-29502.950009072018,-29586.33047700533,-29106.025524952565,-29756.942940743924,-28853.791661194577,-29255.238456920935,-29383.99304045888,-29906.476722501873,-29466.935740362904,-29379.801933943465,-29650.74101922058,-29190.480149433315,-29140.993823132347,-29494.967957865585,-29840.887099253192,-29093.875777231202,-29526.929335888075,-29589.581666146278,-28270.40733156563
5,-29756.891025027897,-29581.40243635724,-29114.75471888484,-28247.146782339558,-29787.185117582536,-29180.28764105513,-30035.84134879966,-28848.560909006304,-29103.045522300923,-28380.364979164846,-29753.072999437347,-29502.950009072018,-29586.33047700533,-29106.025524952565,-29756.942940743924,-28853.791661194577,-29473.91139427334,-29383.99304045888,-29906.476722501873,-29466.935740362904,-29496.241596642358,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29494.967957865585,-29840.887099253192,-29093.875777231202,-29526.929335888075,-29589.581666146278,-28274.452122758874
6,-29756.891025027897,-29581.40243635724,-29114.75471888484,-28266.49814797734,-29787.185117582536,-29180.28764105513,-30035.84134879966,-28848.560909006304,-29103.045522300923,-28714.868908063447,-29753.072999437347,-29502.950009072018,-29586.33047700533,-29106.025524952565,-29756.942940743924,-28853.791661194577,-29473.91139427334,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29496.241596642358,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29495.025001136943,-29840.887099253192,-29093.875777231202,-29661.5239128079,-29589.581666146278,-28295.37655092734
7,-29756.891025027897,-29653.264517777596,-29128.27674723645,-28266.49814797734,-29787.185117582536,-29266.63698853404,-30035.84134879966,-28848.560909006304,-29222.898713422626,-28714.868908063447,-29753.072999437347,-29686.93767938122,-29586.33047700533,-29106.025524952565,-29756.942940743924,-29278.124309322073,-29473.91139427334,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29496.241596642358,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29495.025001136943,-29840.887099253192,-29425.356099037373,-29661.5239128079,-29589.581666146278,-28607.57306612934
8,-29756.891025027897,-29762.66955491648,-29128.27674723645,-29267.721425204014,-29866.766663918082,-29266.63698853404,-30035.84134879966,-28848.560909006304,-29222.898713422626,-28714.868908063447,-29977.36728366041,-29686.93767938122,-29631.358650749567,-29106.025524952565,-29756.942940743924,-29278.124309322073,-29473.91139427334,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29496.241596642358,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29495.025001136943,-29840.887099253192,-29661.795846898618,-29661.5239128079,-29639.84437897447,-28941.467665995166
9,-29756.891025027897,-29762.66955491648,-29381.489690978862,-29267.721425204014,-29900.871372925634,-29419.06971238961,-30035.84134879966,-28848.560909006304,-29222.898713422626,-29108.392463759534,-29977.36728366041,-29686.93767938122,-29945.061404704007,-29106.025524952565,-29756.942940743924,-29278.124309322073,-30250.975928596818,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29674.80723429531,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29495.025001136943,-29840.887099253192,-29661.795846898618,-29661.5239128079,-29639.84437897447,-28965.132701610593
10,-29756.891025027897,-29762.66955491648,-29381.489690978862,-29294.54982165021,-29900.871372925634,-29419.06971238961,-30040.438264586584,-28848.560909006304,-29222.898713422626,-29221.625700884662,-29977.36728366041,-29688.900468536376,-29974.11868351303,-29325.624138039966,-29756.942940743924,-29448.615556468943,-30250.975928596818,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29674.80723429531,-29650.74101922058,-29190.480149433315,-29851.150020512814,-29495.025001136943,-29840.887099253192,-29753.949115363615,-29661.5239128079,-29639.84437897447,-29417.062590731788
