F,ESOA,,PSO,,GA,,DE,,GWO,,HHO,
,ave,std,ave,std,ave,std,ave,std,ave,std,ave,std
1,1.11E+09,2.07E+08,5.80E+11,1.41E+11,1.51E+07,2.10E+07,6.52E+06,3.91E+06,2.21E+10,1.52E+10,4.25E+11,1.32E+10
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,37289.32,6900.14,83594.42,24578.12,158232.44,49994.95,120278.68,8522.19,50388.30,9531.38,86299.93,5549.89
4,515.24,17.97,5635.36,3472.52,583.92,39.82,546.68,7.84,619.33,93.38,9697.10,1905.41
5,624.51,11.18,806.12,36.59,628.97,31.19,682.86,17.12,622.88,44.97,857.15,26.65
6,642.70,6.02,680.31,4.24,642.52,5.97,612.21,1.47,625.00,7.32,691.28,8.59
7,963.55,20.38,1976.48,473.69,1046.79,94.89,925.90,17.28,975.61,21.04,1355.05,16.84
8,942.24,14.78,1127.26,27.92,922.53,33.92,991.15,8.16,921.27,66.19,1105.98,20.14
9,3423.14,1023.40,8887.78,2054.96,2871.54,705.51,1068.04,68.50,3224.27,1127.23,6684.65,698.78
10,5016.83,231.31,6076.19,630.65,4393.26,659.06,7960.00,248.19,5755.16,1888.33,7759.34,253.55
11,1360.73,22.66,2034.61,340.33,8536.84,7784.18,1450.17,40.98,1809.70,827.89,9619.31,1658.95
12,3.66E+07,1.00E+07,1.98E+10,7.40E+09,1.08E+07,6.32E+06,3.99E+07,1.42E+07,9.10E+08,1.16E+09,4.28E+10,2.13E+10
13,3.73E+06,9.01E+05,3.51E+10,2.95E+10,1.89E+05,3.41E+05,1.16E+07,9.36E+06,3.77E+06,4.84E+06,1.86E+10,1.23E+10
14,4.35E+04,4.59E+04,7.38E+04,4.67E+04,1.32E+06,1.02E+06,1.73E+05,4.03E+04,9.29E+05,1.30E+06,6.45E+06,4.64E+06
15,2.20E+05,1.14E+05,1.05E+10,6.13E+09,1.60E+04,9.15E+03,9.86E+05,4.10E+05,2.19E+05,2.24E+05,9.20E+08,1.72E+09
16,2590.12 ,94.97 ,3767.87 ,573.77 ,3018.88 ,348.22 ,3160.53 ,142.81 ,2478.57 ,326.71 ,5353.46 ,924.34 
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,1.88E+05,6.06E+04,4.03E+06,6.21E+06,4.40E+06,3.37E+06,2.00E+06,4.07E+05,1.33E+06,1.12E+06,2.65E+07,2.32E+07
19,1.21E+06,5.37E+05,3.97E+09,6.97E+09,2.82E+03,7.52E+02,1.90E+06,1.02E+06,1.69E+06,1.65E+06,1.07E+09,8.98E+08
20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,2420.72,11.39,2574.28,66.54,2422.36,40.61,2483.75,10.18,2408.42,32.18,2674.48,22.91
22,2346.94,4.66,7280.93,783.05,3996.07,2106.12,3129.04,751.21,6665.97,1644.22,8699.15,1063.76
23,2811.31,13.06,3053.03,108.80,2802.26,26.61,2838.09,8.08,2809.62,64.69,3405.99,95.73
24,2974.72,19.61,3195.71,49.61,2986.88,33.57,3028.09,7.32,2992.27,53.38,3478.17,142.44
25,2929.65,16.14,5816.72,1718.64,2939.10,33.40,2891.38,3.17,2984.29,26.92,4302.69,433.31
26,3100.04,64.72,8426.19,739.31,5729.40,313.67,5483.57,140.53,4669.66,234.40,10614.99,1175.87
27,3236.51,11.52,3398.10,89.95,3250.51,17.04,3266.37,7.45,3241.82,9.68,3993.86,217.88
28,3310.59,11.00,6759.69,1123.67,3312.93,29.35,3292.70,9.67,3468.25,66.19,6214.76,303.99
29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
