,eso_F18_0,de_F18_0,ga_F18_0,pso_F18_0,eso_F18_1,de_F18_1,ga_F18_1,pso_F18_1,eso_F18_2,de_F18_2,ga_F18_2,pso_F18_2,eso_F18_3,de_F18_3,ga_F18_3,pso_F18_3,eso_F18_4,de_F18_4,ga_F18_4,pso_F18_4,eso_F19_0,de_F19_0,ga_F19_0,pso_F19_0,eso_F19_1,de_F19_1,ga_F19_1,pso_F19_1,eso_F19_2,de_F19_2,ga_F19_2,pso_F19_2,eso_F19_3,de_F19_3,ga_F19_3,pso_F19_3,eso_F19_4,de_F19_4,ga_F19_4,pso_F19_4
0,168031903.8973064,2636724815.508069,356694268.5958255,928840381.9193878,514240036.7491616,332405517.5490862,1124765437.469036,175066189.46094915,124721132.69016978,1226211254.1794689,1000990637.9359384,1239676153.9978209,550693653.0177441,320808133.3144572,634130911.6335598,3332524892.42258,255623760.27673736,256945548.14574754,1460341053.1328444,1051991164.3957318,11158475469.845127,114678135556.7609,62842723510.41476,237443639829.2506,10025546457.389194,97930942497.40744,43552988933.6771,111175810106.83328,37341050372.46835,58977945187.76466,111968767127.00365,292112914294.10736,18229372714.5961,64145489177.60003,87808091686.24162,246764733526.03876,10346709302.737816,37791345026.27141,22286376028.20585,206126533188.4232
1,48735073.88382189,1261194102.7116401,1562751650.4123862,928840381.9193878,257523753.45878205,191843037.0645091,1124765437.1812592,175066189.46094915,124721132.69016978,37351817.53076708,454960968.7735591,1239676153.9978209,223216397.48826718,320808133.3144572,301664453.8716416,3332524892.42258,29854805.94294666,256945548.14574754,390268398.87060714,518466578.1122203,5439067826.867376,89456090154.93364,54504769533.7367,213137886159.08884,8924107721.455177,97930942497.40744,88941313227.39476,111175810106.83328,25879656128.034584,58977945187.76466,105414162668.70976,292112914294.10736,12242126324.99208,64145489177.60003,27965580689.45127,229524905962.28006,8265312172.298571,37791345026.27141,21915372402.990673,206126533188.4232
2,42558962.92755342,1183771377.9115067,1343103384.2197871,928840381.9193878,110826731.4316721,191843037.0645091,1123987272.243476,175066189.46094915,101871062.44194886,37351817.53076708,230252803.42376664,50190104.69375391,75152566.94545367,217369328.97036493,261831515.0789449,2556381376.915264,29854805.94294666,256945548.14574754,256738083.4061145,518466578.1122203,3542867557.0300617,68922237947.60112,43217732081.06713,213137886159.08884,8924107721.455177,26171013074.01322,50645771124.75018,111175810106.83328,25333264261.7628,58977945187.76466,61417224943.95931,292112914294.10736,12242126324.99208,64145489177.60003,27965580687.42863,229524905962.28006,6759186242.334952,34084851414.49851,21871998155.86441,206126533188.4232
3,42424601.049703225,1183771377.9115067,527002359.0040742,928840381.9193878,81896027.33702523,191843037.0645091,818521766.9210715,175066189.46094915,84206809.38868487,37351817.53076708,230254043.25864828,50190104.69375391,67721299.74242097,217369328.97036493,261831515.0789449,936144064.1482662,29540012.49139861,256945548.14574754,261403756.22710237,518466578.1122203,2700603248.235161,64931075150.07316,39011208739.07386,180763462008.8973,7864766073.446284,2240607473.739636,32882389836.092556,111175810106.83328,24150491860.084793,58977945187.76466,39809947160.52329,110793739788.50761,7972335758.704862,38146434492.61632,31982695218.615612,186185959538.04947,5796300554.587207,34084851414.49851,14597017624.920113,206126533188.4232
4,28548756.599363193,127785623.85738826,588902498.4521599,155271262.82398605,79439616.8456191,191843037.0645091,530274282.486351,175066189.46094915,80302155.49641311,37351817.53076708,230021994.51585254,50190104.69375391,61929257.98353415,205542165.8032969,138523518.52556407,640865091.0291966,28347703.657858353,256945548.14574754,79431570.41252361,136927103.7478924,2700603248.235161,28339855698.943035,35939731202.25155,149205512933.81833,7864766073.446284,2240607473.739636,29233685914.955574,71390422293.93169,23672812894.57491,44337271623.589455,39809953044.156425,103459372292.90073,6746549420.561263,34668628517.54594,26777589240.607746,154991906224.03717,5346125011.85594,34084851414.49851,12956943074.093348,51253324616.00485
5,28072561.91596859,127785623.85738826,206194412.2763695,155271262.82398605,79439616.8456191,191843037.0645091,397634042.58719915,154694407.37889677,64945155.13944276,37351817.53076708,161984383.78040537,50190104.69375391,61550391.816071,205542165.8032969,138523518.31482738,242530370.3585457,21984144.449221473,256945548.14574754,79431570.41252361,136927103.7478924,2700603248.235161,28339855698.943035,36325615012.50945,36566933726.44514,7864766073.446284,2240607473.739636,19041865697.536724,24368297210.15565,23437473522.306618,44337271623.589455,19529570566.530025,66202037400.983604,5120303724.92106,34668628517.54594,26777589240.609406,56082810787.95661,5346125011.85594,33900359353.904697,36980987223.99639,51253324616.00485
6,27140970.746689927,127785623.85738826,151843102.51818743,155271262.82398605,79439616.8456191,191843037.0645091,329081482.3081568,154694407.37889677,45626160.02366278,37351817.53076708,132906181.6853214,50190104.69375391,60643083.52141868,27004741.91444563,137959437.3961438,129400454.59742112,21984144.449221473,157890531.76548928,79431570.41252361,88545914.27027889,2700603248.235161,11150523853.718748,32574240070.82964,36566933726.44514,6766452700.639151,2240607473.739636,15441957046.63485,24368297210.15565,23430918675.031704,44337271623.589455,19529570555.70301,63581379869.20468,4955561783.903517,34668628517.54594,18895563360.787132,56082810787.95661,4316439415.01862,33900359353.904697,10760487224.299957,51253324616.00485
7,27140970.746689927,127785623.85738826,168330938.23021004,155271262.82398605,69645685.98834355,191843037.0645091,271846272.3690567,154694407.37889677,38054983.25548463,37351660.40697575,24528415.864200786,50190104.69375391,60596848.301609434,27004741.91444563,137959411.87406185,129400454.59742112,21984144.449221473,157890531.76548928,79431570.35452013,88545914.27027889,2700603248.235161,11150523853.718748,32574240068.943443,36566933726.44514,4860469324.751702,2240607473.739636,11176327467.819466,24368297210.15565,11388100273.30188,16688824510.030375,13674197015.599953,41899338504.107185,4280851740.143955,10181762462.012953,18895476388.909103,56082810787.95661,3525553402.4045563,33900359353.904697,4724194124.763182,33672419089.592052
8,22118126.18831967,127785623.85738826,168330938.23021004,122182858.29551844,53643068.11739269,191843037.0645091,309611329.58857125,154694407.37889677,36779774.56595081,37351660.40697575,42415751.29985304,50190104.69375391,57768796.370098464,27004741.91444563,99709811.65603206,129400454.59742112,19953131.15155736,157890531.76548928,79432943.15270185,88545914.27027889,2700603248.235161,11150523853.718748,32459074694.338,14123281890.237682,4551616656.515697,2240607473.739636,7399194791.994343,24368297210.15565,11388100273.30188,13371465695.844564,13263738644.785498,41899338504.107185,816724001.3377421,10181762462.012953,9879647195.250618,47861861309.47664,3159979933.6007032,12808066152.650162,3768083782.070793,29382149689.52029
9,20380243.182187088,120832907.29460178,191993543.14291337,122182858.29551844,53643068.11739269,191843037.0645091,167747396.7527349,47606156.89766248,28780942.59260796,37351660.40697575,42415709.19244767,33049483.45084949,38654948.69957392,27004741.91444563,136841270.4342807,104489563.21945179,9292417.590188019,103867903.58863607,213829083.9276749,88545914.27027889,2700603248.235161,11150523853.718748,32459074694.338,14123281890.237682,4551616656.515697,2240607473.739636,5333417828.472878,22603111254.736195,6618046756.762235,13371465695.844564,9154193905.759024,13437575234.620588,816724001.3377421,10181762462.012953,9879647191.485832,36962197744.09735,2967480873.926316,12808066152.650162,3388252970.911303,16032154773.144653
10,20380243.182187088,120832907.29460178,191233189.20291612,89043767.18937904,53643068.11739269,163206805.97674903,288425757.5026445,47606156.89766248,24982483.10234215,37351660.40697575,42415744.43539337,16296868.275571616,31955826.903024454,27004741.91444563,136839854.53374353,79104924.28705102,8301011.289055599,103867903.58863607,213829084.88736767,88545914.27027889,2700603248.235161,11150523853.718748,32451105294.610085,14123281890.237682,4551616656.515697,2240607473.739636,5286461175.486409,20800491526.217525,5847070765.42537,13371465695.844564,8585746466.470126,13437575234.620588,816724001.3377421,10181762462.012953,7382806421.555218,16555207042.641777,2826453373.124501,12808066152.650162,3360570850.1945324,16032154773.144653
11,16660036.997232277,74435356.47767355,220584185.70563066,82289207.59487063,48694765.926338755,163206805.97674903,212421232.29752988,45101772.71886005,19439933.367584847,37351660.40697575,42415851.34003926,16296868.275571616,31955826.903024454,27004741.91444563,127767840.85739058,79104924.28705102,8301011.289055599,103867903.58863607,113390335.34428315,81658783.53492026,2700603248.235161,6278997641.8455515,29878967075.961864,14123281890.237682,4302933199.5029,2240607473.739636,4797648787.097203,19960701910.723,3994903238.8739433,13371465695.844564,7907277983.977316,9444934166.877213,471175764.2882903,10181762462.012953,7374683133.7639675,7683748839.232056,670061064.128793,12808066152.650162,3360570850.175326,9141006759.714115
